snr_db,simulated_ber,theoretical_ber,total_bits,bit_errors
0,0.0790462,0.0786496,2080000,164416
2,0.0374428,0.0375061,2080000,77881
4,0.0124178,0.0125008,2080000,25829
6,0.00239327,0.00238829,2080000,4978
8,0.000194231,0.000190908,2080000,404
10,5.28846e-06,3.87211e-06,2080000,11
12,0,9.00601e-09,2080000,0
